asset_name,asset_category,description,model,serial_number,date_of_acquisition,age_at_time_of_acquisition,purchase_value,depreciation_percentage,lpo_number,dig_funder_name,project_name,acquisition_name,current_condition,date_of_disposal,comments
FAN,Office Equipment,Von fan,NA,108VSNJ8621K-1,2021-07-01,4.83, -   ,20,N/A,Pathfinder International,Stawisha,Donation,FAULTY,,Pathfinder International
FAN,Office Equipment,Von fan,N/A,108VSNJ8621K-2,2021-07-01,4.83, -   ,20,N/A,Pathfinder International,Stawisha,Donation,FAULTY,,Pathfinder International
FAN,Office Equipment,Von fan,N/A,108VSNJ8621K-3,2021-07-01,4.83, -   ,20,N/A,Pathfinder International,Stawisha,Donation,FAULTY,,Pathfinder International
FAN,Office Equipment,Von fan,VSNJ6622k,201VSNJ6622K0884,2021-07-01,4.83, -   ,20,N/A,Pathfinder International,Stawisha,Donation,Good,,Pathfinder International
FAN,Office Equipment,Von fan,NA,210VSNJ6622A0874,2021-07-01,4.83, -   ,20,N/A,Pathfinder International,Stawisha,Donation,Good,,Pathfinder International
FAN,Office Equipment,Von fan,VSNJ6622k,210VSNJ6622k0397,2021-07-01,4.83, -   ,20,N/A,Pathfinder International,Stawisha,Donation,Good,,Pathfinder International
FAN,Office Equipment,Von fan,RT28K3032S8,210VSNJ6622K0607,2021-07-01,4.83, -   ,20,N/A,Pathfinder International,Stawisha,Donation,FAULTY,,Pathfinder International
FAN,Office Equipment,Von fan,N/A,210VSNJ6622K407,2021-07-01,4.83, -   ,20,N/A,Pathfinder International,Stawisha,Donation,Good,,Pathfinder International
fridge ,Office Equipment,Samsung Refrifgerator,N/A,DA6801797F06,2021-07-01,4.83,,20,N/A,Pathfinder International,Stawisha,Donation,Good,,Pathfinder International
office Chair,Furniture & Fittings,Highback office chair with a mesh on the back and plastic Base,N/A,N/A,2021-07-01,4.83,,20,N/A,Pathfinder International,Stawisha,Donation,Good,,Pathfinder International
office Chair,Furniture & Fittings,High back office chair with mesh and plastic base,N/A,N/A,2021-07-01,4.83,,20,N/A,Pathfinder International,Stawisha,Donation,Good,,Pathfinder International
Office Chair,Furniture & Fittings,High back office chair with mesh and plastic base,N/A,N/A,2021-07-01,4.83,,20,N/A,Pathfinder International,Stawisha,Donation,Good,,Pathfinder International
office Chair,Furniture & Fittings,Medium highback office chair with mesh on the back and chrome base,N/A,N/A,2021-07-01,4.83,,20,N/A,Pathfinder International,Stawisha,Donation,Good,,Pathfinder International
office Chair,Furniture & Fittings,Midium Highback office chair with a mesh on the back and plastic Base,N/A,N/A,2021-07-01,4.83,,20,N/A,Pathfinder International,Stawisha,Donation,Good,,Pathfinder International
Office Desk,Furniture & Fittings,3 Drawers office desk,N/A,N/A,2021-07-01,4.83,,20,N/A,Pathfinder International,Stawisha,Donation,Good,,Pathfinder International
Office Desk,Furniture & Fittings,3 Drawers office desk,N/A,N/A,2021-07-01,4.83,,20,N/A,Pathfinder International,Stawisha,Donation,good,,Pathfinder International
Office Desk,Furniture & Fittings,3 Drawers office desk,N/A,N/A,2021-07-01,4.83,,20,N/A,Pathfinder International,Stawisha,Donation,GOOD,,Pathfinder International
Office Desk,Furniture & Fittings,3 Drawers office desk,N/A,N/A,2021-07-01,4.83,,20,N/A,Pathfinder International,Stawisha,Donation,GOOD,,Pathfinder International
rack,Furniture & Fittings,medium duty rack,N/A,N/A,2021-07-01,4.83,,20,N/A,Pathfinder International,Stawisha,Donation,Good,,Pathfinder International
rack,Furniture & Fittings,medium duty rack,N/A,N/A,2021-07-01,4.83,,20,N/A,Pathfinder International,Stawisha,Donation,Good,,Pathfinder International
rack,Furniture & Fittings,medium duty rack,N/A,N/A,2021-07-01,4.83,,20,N/A,Pathfinder International,Stawisha,Donation,Good,,Pathfinder International
rack,Furniture & Fittings,medium duty rack,840 G4,N/A,2021-07-01,4.83,,20,N/A,Pathfinder International,Stawisha,Donation,Good,,Pathfinder International
rack,Furniture & Fittings,medium duty rack,9560NGW,N/A,2021-07-01,4.83,,20,N/A,Pathfinder International,Stawisha,Donation,Good,,Pathfinder International
Laptop,Laptop,HP Elitebook 840 G4,N/A,5cg8070g67,2021-07-01,4.83,,20,N/A,Pathfinder International,Stawisha,Donation,GOOD,,Pathfinder International
Laptop,Laptop,Hp probook 430 G7,430 G3,JPH1232J90,2021-07-01,4.83,,20,N/A,Pathfinder International,Stawisha,Donation,Good ,,Pathfinder International
Office Desk,Furniture & Fittings,3 Drawers office desk,430 G3,N/A,2021-07-01,4.83,,20,N/A,Pathfinder International,Stawisha,Donation,Good,,Pathfinder International
Laptop,Laptop,HP Probook 430 G3,430 G3,5CD62089QM,2021-07-01,4.83,,20,N/A,Pathfinder International,Stawisha,Donation,FAULTY,,Pathfinder International
Laptop,Laptop,HP Probook 430 G3,430 G1,5CD62089QN,2021-07-01,4.83,,20,N/A,Pathfinder International,Stawisha,Donation,Good,,Pathfinder International
Laptop,Laptop,HP Probook 430 G3,WEST POINT,5CD62089QV,2021-07-01,4.83,,20,N/A,Pathfinder International,Stawisha,Donation,Good,,Pathfinder International
Laptop,Laptop,HP Probook 430 G1,430 G3,8CG42806F3,2021-07-01,4.83,,20,N/A,Pathfinder International,Stawisha,Donation,Good,,Pathfinder International
Air Conditioner,Office Equipment,Westpoint Air Conditioner,430 G4,240404124017706012164,2021-07-01,4.83,,20,N/A,Pathfinder International,Stawisha,Donation,FAULTY,,Pathfinder International
Laptop,Laptop,HP Probook 430 G3,430 G4,5CD62089QY,2021-07-01,4.83,,20,N/A,Pathfinder International,Stawisha,Donation,GOOD,,Pathfinder International
Laptop,Laptop,HP Probook 430 G4,WEST POINT,5CD71608P6,2021-07-01,4.83," 73,259.46 ",20,N/A,Pathfinder International,Stawisha,Donation,FAULTY,,Pathfinder International
Laptop,Laptop,HP Probook 430 G4,WEST POINT,5CD71608N8,2021-07-01,4.83," 73,259.46 ",20,N/A,Pathfinder International,Stawisha,Donation,FAULTY,,Pathfinder International
Air Conditioner,Office Equipment,Westpoint Air Conditioner,WEST POINT,24040412401770601205,2021-07-01,4.83," 49,200.00 ",20,N/A,Pathfinder International,Stawisha,Donation,Good,,Pathfinder International
Air Conditioner,Office Equipment,Westpoint Air Conditioner,8621,2404041240177060120169,2021-07-01,4.83," 49,200.00 ",20,N/A,Pathfinder International,Stawisha,Donation,Good,,Pathfinder International
Air Conditioner,Office Equipment,Westpoint Air Conditioner,Laminated Top,3405517520286010120140,2021-07-01,4.83," 49,200.00 ",20,N/A,Pathfinder International,Stawisha,Donation,Good,,Pathfinder International
Binding Machine,Computer and ICT Accessories,Binding Machine A4,N/A,N/A,2021-07-01,4.83,,20,N/A,Pathfinder International,Stawisha,Donation,GOOD,,Pathfinder International
Boardroom Table,Furniture & Fittings,Executive Boardroom Table,LG,N/A,2021-07-01,4.83," 179,995.00 ",20,N/A,Pathfinder International,Stawisha,Donation,Good,,Pathfinder International
Cabinet,Furniture & Fittings,Highglass door Cabinet,320,N/A,2021-07-01,4.83,,20,N/A,Pathfinder International,Stawisha,Donation,Good,,Pathfinder International
